nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
SABLE-SUR-SARTHE 03/07/22 C1,20 000E,2 825m,Pour 6 et 7 ans n'ayant pas gagne 143.000. - Recul de 25 m. a  73.000. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C2,14 000E,2 825m,Course Nationale LeTROT Open des Regions - Anjou-Maine - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 7.000. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C3,13 000E,2 825m,Pour 4 ans n'ayant pas gagne 17.500. - Recul de 25 m. a  8.200. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C4,13 000E,2 825m,Pour 4 ans n'ayant pas gagne 17.500. - Recul de 25 m. a  8.200. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C5,45 000E,2 800m,TROPHEE VERT 9eme Etape du Trophee Vert Pour 6 a  10 ans inclus n'ayant pas gagne 580.000 a  leur premiere participation au Trophee Vert en 2022. - Recul de 25 m. a  179.000 de 50 m. a  289.000. Sont seules admises a  driver les personnes ayant gagne au moins dix courses (en etant titulaire d'une autorisation de monter a  titre professionnel). Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant jamais remporte de Groupe I ni depuis le 1er janvier 2021 ete classes premiers d'une epreuve de Groupe II. En cas d'elimination seront maintenus partants en priorite en premier lieu tout gagnant d'une etape cette annee en second lieu a  partir de la 5eme etape organisee cette annee les 5 premiers du classement. Course precedee d'un defile. Course PMU eventuelle. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C6,18 000E,2 825m,Pour 4 5 et 6 ans n'ayant pas gagne 83.000. - Recul de 25 m. a  42.000. ,Monte,Volte
SABLE-SUR-SARTHE 03/07/22 C7,17 000E,2 825m,TROPHEE VERT DES APPRENTIS 9eme epreuve du Trophee vert Apprentis - lads-jockeys Pour 6 7 et 8 ans n'ayant pas gagne 116.000. - Recul de 25 m. a  57.000. ,Attele,Volte
SABLE-SUR-SARTHE 03/07/22 C8,7 000E,2 800m,TROPHEE VERT DES AMATEURS 9eme etape du Trophee Vert Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 110.000 a  leur premiere participation au Trophee Vert des Amateurs en 2022. - Recul de 25 m. a  50.000 de 50 m. a  110.000. Sont seuls admis a  driver les amateurs membres de l'U.N.A.T. ayant gagne au moins deux courses ou ayant couru au moins vingt fois. En cas d'elimination seront maintenus partants en priorite en premier lieu tout gagnant (couple amateur/cheval) d'une etape cette annee en second lieu a  partir de la 5eme etape organisee cette annee les 5 premiers du classement (couple amateur/cheval). ,Attele,Volte
AMIENS 02/07/22 C1,17 000E,2 400m,Apprentis - lads-jockeys   Pour 6 ans n'ayant pas gagne 83.000. ,Attele,Autostart
AMIENS 02/07/22 C2,5 500E,2 400m,Challenge UNAT NIDFE - Sellerie de Grosbois Eliminatoire de la Coupe   Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 58.000. En cas d'elimination le cheval drive par un Amateur ayant couru moins de huit fois cette annee sera maintenu partant en priorite. ,Attele,Autostart
