nom-reunion,nom-hippodrome,date-reunion
ENGHIEN 02/07/22,ENGHIEN,1656709200.0
VIRE NORMANDIE 02/07/22,VIRE NORMANDIE,1656709200.0
AMIENS 02/07/22,AMIENS,1656709200.0
BIARRITZ 02/07/22,BIARRITZ,1656709200.0
CLUNY 02/07/22,CLUNY,1656709200.0
SABLE-SUR-SARTHE 03/07/22,SABLE-SUR-SARTHE,1656795600.0
SAINT-BRIEUC 03/07/22,SAINT-BRIEUC,1656795600.0
SAINT-GALMIER 03/07/22,SAINT-GALMIER,1656795600.0
AGON-COUTAINVILLE 03/07/22,AGON-COUTAINVILLE,1656795600.0
CASTELSARRASIN 03/07/22,CASTELSARRASIN,1656795600.0
CHINON - RICHELIEU 03/07/22,CHINON - RICHELIEU,1656795600.0
GEMOZAC 03/07/22,GEMOZAC,1656795600.0
KARUKERA (GUADELOUPE) 03/07/22,KARUKERA (GUADELOUPE),1656795600.0
LA GACILLY 03/07/22,LA GACILLY,1656795600.0
LAON 03/07/22,LAON,1656795600.0
LE TOUQUET 03/07/22,LE TOUQUET,1656795600.0
LES ANDELYS 03/07/22,LES ANDELYS,1656795600.0
LUCON 03/07/22,LUCON,1656795600.0
MOLIERES 03/07/22,MOLIERES,1656795600.0
MONPAZIER 03/07/22,MONPAZIER,1656795600.0
MOULINS-LA-MARCHE 03/07/22,MOULINS-LA-MARCHE,1656795600.0
ORAISON 03/07/22,ORAISON,1656795600.0
PLESTIN-LES-GREVES 03/07/22,PLESTIN-LES-GREVES,1656795600.0
RAMBOUILLET 03/07/22,RAMBOUILLET,1656795600.0
VITTEAUX 03/07/22,VITTEAUX,1656795600.0
VITTEL 03/07/22,VITTEL,1656795600.0
ZONZA 03/07/22,ZONZA,1656795600.0
PORNICHET 04/07/22,PORNICHET,1656882000.0
VICHY 04/07/22,VICHY,1656882000.0
EAUZE 04/07/22,EAUZE,1656882000.0
CABOURG 05/07/22,CABOURG,1656968400.0
VICHY 05/07/22,VICHY,1656968400.0
BIARRITZ 05/07/22,BIARRITZ,1656968400.0
ENGHIEN 06/07/22,ENGHIEN,1657054800.0
HYERES 06/07/22,HYERES,1657054800.0
LISIEUX 07/07/22,LISIEUX,1657141200.0
VICHY 07/07/22,VICHY,1657141200.0
BIARRITZ 07/07/22,BIARRITZ,1657141200.0
GRAIGNES 07/07/22,GRAIGNES,1657141200.0
CABOURG 08/07/22,CABOURG,1657227600.0
FEURS 08/07/22,FEURS,1657227600.0
PORNICHET 08/07/22,PORNICHET,1657227600.0
VILLEDIEU-LES-POELES 08/07/22,VILLEDIEU-LES-POELES,1657227600.0
ENGHIEN 09/07/22,ENGHIEN,1657314000.0
VICHY 09/07/22,VICHY,1657314000.0
BIARRITZ 09/07/22,BIARRITZ,1657314000.0
LA CAPELLE 10/07/22,LA CAPELLE,1657400400.0
ABBEVILLE 10/07/22,ABBEVILLE,1657400400.0
BEAUMONT DE LOMAGNE 10/07/22,BEAUMONT DE LOMAGNE,1657400400.0
CARPENTRAS 10/07/22,CARPENTRAS,1657400400.0
CASTILLONNES 10/07/22,CASTILLONNES,1657400400.0
CHINON - RICHELIEU 10/07/22,CHINON - RICHELIEU,1657400400.0
ERBRAY 10/07/22,ERBRAY,1657400400.0
