Nom,Prix,Distance,Mode course,Conditions,Depart
C1,18 000E,2 575m,Attele,Challenge de l'Avenir Apprentis-lads-jockeys Pour 7 et 8 ans n'ayant pas gagne 106.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne huit courses. ,Volt
C2,21 000E,2 550m,Attele,Course Nationale LeTROT Open des Regions - Sud-Ouest - 5 ans Course qualificative Pour 5 ans ayant gagne au moins 10.000 mais pas 86.000. - Recul de 25 m. a  43.000. ,Volt
C3,14 000E,2 550m,Attele,Pour pouliches de 4 ans n'ayant pas gagne 21.500. - Recul de 25 m. a  9.200. ,Volt
C4,27 000E,2 400m,Attele,Course Europeenne Depart a  l'autostart Pour 8 9 et 10 ans n'ayant pas gagne 184.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Autostart
C5,18 000E,2 400m,Attele,Course Nationale LeTROT Open des Regions - Sud-Ouest - 3 ans Course qualificative Depart a  l'autostart Pour 3 ans n'ayant pas gagne 14.000. ,Autostart
C6,14 000E,2 400m,Attele,Depart a  l'autostart Pour 4 ans n'ayant pas gagne 8.200. ,Autostart
C7,5 500E,2 550m,Attele,Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 92.000. - Recul de 25 m. a  46.000. ,Volt
C1,13 000E,2 800m,Attele,Pour 3 ans n'ayant pas gagne 4.500. ,Volt
C2,13 000E,2 800m,Attele,Pour 3 ans n'ayant pas gagne 4.500. ,Volt
C3,14 000E,2 800m,Attele,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 9.300. ,Volt
C4,14 000E,2 800m,Attele,Pour pouliches de 4 ans n'ayant pas gagne 9.300. ,Volt
C5,14 000E,2 800m,Monte,Apprentis-lads-jockeys Pour 6 ans n'ayant pas gagne 47.000. ,Volt
C6,19 000E,2 800m,Attele,Pour 7 et 8 ans n'ayant pas gagne 133.000. - Recul de 25 m. a  65.000. ,Volt
C7,15 000E,2 800m,Attele,Pour 5 ans n'ayant pas gagne 39.000. - Recul de 25 m. a  19.000. ,Volt
C8,15 000E,2 800m,Attele,Pour 5 ans n'ayant pas gagne 39.000. - Recul de 25 m. a  19.000. ,Volt
C9,5 000E,2 800m,Attele,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 120.000. - Recul de 25 m. a  61.000. ,Volt
C1,90 000E,2 850m,Attele,Course Europeenne Pour 5 et 6 ans ayant gagne au moins 50.000 mais pas 265.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I. ,Volt
C2,80 000E,2 175m,Attele,Pour 4 ans ayant gagne au moins 30.000. ,Volt
C3,200 000E,2 700m,Monte,Pour 3 ans hongres exclus ayant gagne au moins 10.000. Sont seules admises a  monter les personnes ayant gagne au moins trente-cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). Une priorite de participation au Prix d'Essai est accordee au 3 premiers du Prix Ali Hawas du Prix Felicien Gauvreau du Prix Gai Brillant et du Prix Hemine courus a  Vincennes cette annee ainsi qu'aux 3 premiers du Pierre Gamare couru a  Caen cette annee. En cas de dead-heat pour la troisieme place pour etablir la liste des concurrents beneficiant d'une priorite de participation au Prix d'Essai accordee a  l'issue de chaque epreuve qualificative est retenu le concurrent dont les sommes gagnees sont les plus elevees au moment de la declaration de partant. ,Volt
C4,90 000E,2 850m,Attele,Course A Course Europeenne Pour 6 a  10 ans inclus n'ayant pas gagne 675.000. - Recul de 25 m. a  345.000. ,Volt
C5,240 000E,2 850m,Monte,Pour 4 ans hongres exclus ayant gagne au moins 38.000. Sont seules admises a  monter les personnes ayant gagne au moins trente-cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). Course precedee d'un defile. Une priorite de participation au Prix du President de la Republique est accordee au 3 premiers du Prix Rene Palyart et du Prix Lavater courus a  Vincennes cette annee ainsi qu'aux 3 premiers du Prix Henri Balliere couru a  Caen cette annee. En cas de dead-heat pour la troisieme place pour etablir la liste des concurrents beneficiant d'une priorite de participation au Prix du President de la Republique accordee a  l'issue de chaque epreuve qualificative est retenu le concurrent dont les sommes gagnees sont les plus elevees au moment de la declaration de partant. ,Volt
C6,200 000E,2 700m,Attele,Groupe I Pour 3 ans hongres exclus ayant gagne au moins 10.000. Sont seules admises a  driver les personnes ayant gagne au moins trente-cinq courses dont dix au trot attele (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Volt
C7,240 000E,3 000m,Monte,Pour 5 ans hongres exclus ayant gagne au moins 61.000. Sont seules admises a  monter les personnes ayant gagne au moins trente-cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). Course precedee d'un defile. Une priorite de participation au Prix de Normandie est accordee au 3 premiers du Prix Louis Forcinal du Prix Jean Gauvreau et du Prix Victor Cavey courus a  Vincennes cette annee. En cas de dead-heat pour la troisieme place pour etablir la liste des chevaux beneficiant d'une priorite de participation au Prix de Normandie accordee a  l'issue de chaque epreuve qualificative est retenu le concurrent dont les sommes gagnees sont les plus elevees au moment de la declaration de partant. ,Volt
C8,200 000E,2 100m,Attele,Course Internationale Depart a  l'autostart Pour 4 a  10 ans inclus hongres exclus ayant gagne au moins 160.000. En cas d'elimination les gains des chevaux declares partants sont calcules sur les bases suivantes : chevaux ages de 4 ans (I) gains reels majores de 30 %; chevaux ages de 5 ans (H) gains reels majores de 20 %; chevaux ages de 6 ans (G) gains reels majores de 10 % chevaux ages de 7 a  10 ans (C a  F) gains reels. Sont seules admises a  driver les personnes ayant gagne au moins trente-cinq courses dont dix au trot attele (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Autostart
C9,65 000E,2 100m,Attele,Depart a  l'autostart Pour 8 9 et 10 ans n'ayant pas gagne 269.000. ,Autostart
C1,12 000E,2 300m,Attele,Pour 3 ans n'ayant pas gagne 6.500. - Recul de 25 m. a  1.500. ,Volt
C2,17 000E,2 800m,Monte,Course E Pour 4 5 et 6 ans n'ayant pas gagne 57.000. - Recul de 25 m. a  22.500. ,Volt
C3,13 000E,2 800m,Attele,Pour 4 ans n'ayant pas gagne 14.200. - Recul de 25 m. a  7.000. ,Volt
C4,10 000E,2 825m,Attele,Course "a reclamer" Pour 5 a  8 ans inclus n'ayant pas gagne 100.000 a  reclamer pour 5.000 ou 8.000. - Avance de 25 m. aux chevaux a  reclamer pour 5.000. ,Volt
C5,15 000E,2 800m,Attele,Course F Course Nationale LeTROT Open des Regions - Sud-Est - 5 ans Course qualificative Pour 5 ans n'ayant pas gagne 46.000. - Recul de 25 m. a  22.000. ,Volt
C6,20 000E,2 800m,Attele,Course F Pour 6 a  9 ans inclus n'ayant pas gagne 146.000. - Recul de 25 m. a  70.000. ,Volt
C7,5 000E,2 800m,Attele,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 76.000. - Recul de 25 m. a  39.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C1,21 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 40.000. ,Volt
C2,16 000E,2 600m,Attele,Pour 3 ans n'ayant pas gagne 5.800. ,Volt
C3,24 000E,2 600m,Attele,Pour 7 a  10 ans inclus n'ayant pas gagne 160.000. - Recul de 25 m. a  83.000. ,Volt
C4,19 000E,2 600m,Attele,Pour 6 ans n'ayant pas gagne 85.000. - Recul de 25 m. a  42.500. ,Volt
C5,16 000E,2 600m,Attele,Pour 4 ans n'ayant pas gagne 18.000. - Recul de 25 m. a  8.000. ,Volt
C6,19 000E,2 600m,Monte,Pour 5 6 et 7 ans n'ayant pas gagne 69.000. - Recul de 25 m. a  36.000. Avantage de poids (voir Conditions Generales). ,Volt
C7,6 000E,2 600m,Attele,Challenge UNAT NIDFE - Sellerie de Grosbois Course G Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 95.000. - Recul de 25 m. a  47.500. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Volt
C1,13 000E,2 450m,Attele,Pour 3 ans n'ayant pas gagne 2.600. ,Volt
C2,13 000E,2 450m,Attele,Pour 3 ans n'ayant pas gagne 2.600. ,Volt
C3,18 000E,2 450m,Attele,Pour 5 ans n'ayant pas gagne 54.000. - Recul de 25 m. a  25.500. ,Volt
C4,14 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 17.000. ,Volt
C5,18 000E,3 475m,Attele,Pour 6 et 7 ans n'ayant pas gagne 93.000. - Recul de 25 m. a  48.000. ,Volt
C6,13 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 12.200. - Recul de 25 m. a  4.900. ,Volt
C7,13 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 12.200. - Recul de 25 m. a  4.900. ,Volt
C8,19 000E,2 450m,Monte,Challenge de l'Avenir Apprentis - lads-jockeys Pour 6 a  9 ans inclus n'ayant pas gagne 141.000. - Recul de 25 m. a  72.000. ,Volt
