Hippodrome,Date
LE TOUQUET,2022-06-26
NANCY,2022-06-26
VINCENNES,2022-06-26
AGON-COUTAINVILLE,2022-06-26
BEAUMONT DE LOMAGNE,2022-06-26
BERNAY,2022-06-26
BOLLENE,2022-06-26
CASTILLONNES,2022-06-26
CRAON,2022-06-26
GEMOZAC,2022-06-26
LA ROCHE-POSAY,2022-06-26
LA ROCHE-SUR-YON,2022-06-26
MONTLUCON-NERIS LES BAINS,2022-06-26
MONTMIRAIL,2022-06-26
MORLAIX,2022-06-26
MOULINS-LA-MARCHE,2022-06-26
PONTCHATEAU,2022-06-26
CAEN,2022-06-27
HYERES,2022-06-27
LE CROISE-LAROCHE,2022-06-27
BEAUMONT DE LOMAGNE,2022-06-27
CHARTRES,2022-06-28
VINCENNES,2022-06-28
VICHY,2022-06-29
ENGHIEN,2022-06-30
LAVAL,2022-06-30
VICHY,2022-06-30
FEURS,2022-07-01
LE MONT-SAINT-MICHEL-PONTORSON,2022-07-01
VINCENNES,2022-07-01
MARSEILLE (A BORELY),2022-07-01
ENGHIEN,2022-07-02
VIRE NORMANDIE,2022-07-02
AMIENS,2022-07-02
BIARRITZ,2022-07-02
CLUNY,2022-07-02
SABLE-SUR-SARTHE,2022-07-03
SAINT-BRIEUC,2022-07-03
SAINT-GALMIER,2022-07-03
AGON-COUTAINVILLE,2022-07-03
CASTELSARRASIN,2022-07-03
CHINON - RICHELIEU,2022-07-03
KARUKERA (GUADELOUPE),2022-07-03
LA GACILLY,2022-07-03
LAON,2022-07-03
LE TOUQUET,2022-07-03
LES ANDELYS,2022-07-03
LUCON,2022-07-03
MOLIERES,2022-07-03
MONPAZIER,2022-07-03
MOULINS-LA-MARCHE,2022-07-03
ORAISON,2022-07-03
PLESTIN-LES-GREVES,2022-07-03
RAMBOUILLET,2022-07-03
VITTEAUX,2022-07-03
VITTEL,2022-07-03
ZONZA,2022-07-03
PORNICHET,2022-07-04
VICHY,2022-07-04
EAUZE,2022-07-04
CABOURG,2022-07-05
VICHY,2022-07-05
BIARRITZ,2022-07-05
ENGHIEN,2022-07-06
HYERES,2022-07-06
LISIEUX,2022-07-07
VICHY,2022-07-07
BIARRITZ,2022-07-07
GRAIGNES,2022-07-07
CABOURG,2022-07-08
FEURS,2022-07-08
PORNICHET,2022-07-08
VILLEDIEU-LES-POELES,2022-07-08
ENGHIEN,2022-07-09
VICHY,2022-07-09
BIARRITZ,2022-07-09
LA CAPELLE,2022-07-10
ABBEVILLE,2022-07-10
BEAUMONT DE LOMAGNE,2022-07-10
CARPENTRAS,2022-07-10
CASTILLONNES,2022-07-10
CHINON - RICHELIEU,2022-07-10
ERBRAY,2022-07-10
GEMOZAC,2022-07-10
GENETS,2022-07-10
LIGNIERES EN BERRY,2022-07-10
MADININA (MARTINIQUE),2022-07-10
MONTIER-EN-DER,2022-07-10
QUESTEMBERT,2022-07-10
RANES,2022-07-10
SEGRE,2022-07-10
CAGNES-SUR-MER,2022-07-11
LES SABLES D'OLONNE,2022-07-11
BIARRITZ,2022-07-11
GRANVILLE,2022-07-11
CABOURG,2022-07-12
PORNICHET,2022-07-12
ENGHIEN,2022-07-13
SAINT-MALO,2022-07-13
BIARRITZ,2022-07-13
CAGNES-SUR-MER,2022-07-13
BEAUMONT DE LOMAGNE,2022-07-14
AGON-COUTAINVILLE,2022-07-14
BAGNOLES DE L'ORNE,2022-07-14
CHATELAILLON-LA ROCHELLE,2022-07-14
